2025-09-02 12:51:34 | ERROR | utils.scheduler:_send_single_response:379 | ❌ Ошибка отправки отклика: Ошибка API: 403 - {"description":"Must process test first","errors":[{"value":"test_required","type":"negotiations"}],"request_id":"175680669790753e3278b59f781a0008"}
2025-09-02 12:51:34 | ERROR | utils.scheduler:_send_responses:271 | Не удалось отправить отклик на вакансию 122459875
2025-09-02 12:51:50 | ERROR | hh_api.client:send_response_to_vacancy:301 | Ошибка отправки отклика на вакансию 122459875: Ошибка API: 403 - {"description":"Must process test first","errors":[{"value":"test_required","type":"negotiations"}],"request_id":"17568067146094edf3be98486d5ba002"}
2025-09-02 12:51:50 | ERROR | utils.scheduler:_send_single_response:379 | ❌ Ошибка отправки отклика: Ошибка API: 403 - {"description":"Must process test first","errors":[{"value":"test_required","type":"negotiations"}],"request_id":"17568067146094edf3be98486d5ba002"}
2025-09-02 12:51:50 | ERROR | utils.scheduler:_send_responses:271 | Не удалось отправить отклик на вакансию 122459875
2025-09-02 12:51:50 | ERROR | hh_api.client:send_response_to_vacancy:301 | Ошибка отправки отклика на вакансию 124690313: Ошибка API: 403 - {"description":"Already applied","bad_argument":"vacancy_id","bad_arguments":[{"name":"vacancy_id","description":"Already applied"}],"errors":[{"value":"already_applied","type":"negotiations"}],"request_id":"175680671476226e8192e27fa7654012"}
2025-09-02 12:51:50 | ERROR | utils.scheduler:_send_single_response:379 | ❌ Ошибка отправки отклика: Ошибка API: 403 - {"description":"Already applied","bad_argument":"vacancy_id","bad_arguments":[{"name":"vacancy_id","description":"Already applied"}],"errors":[{"value":"already_applied","type":"negotiations"}],"request_id":"175680671476226e8192e27fa7654012"}
2025-09-02 12:51:50 | ERROR | utils.scheduler:_send_responses:271 | Не удалось отправить отклик на вакансию 124690313
2025-09-02 12:53:05 | ERROR | hh_api.client:send_response_to_vacancy:301 | Ошибка отправки отклика на вакансию 122459875: Ошибка API: 403 - {"description":"Must process test first","errors":[{"value":"test_required","type":"negotiations"}],"request_id":"175680678967934f7e6389f0ce600004"}
2025-09-02 12:53:05 | ERROR | utils.scheduler:_send_single_response:379 | ❌ Ошибка отправки отклика: Ошибка API: 403 - {"description":"Must process test first","errors":[{"value":"test_required","type":"negotiations"}],"request_id":"175680678967934f7e6389f0ce600004"}
